Terms,Freq,Posting,Compress Posting,Gamma Code
cercado,11,"[2, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[2, 80, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[100, 1111110010000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
certificaram,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
certo,3,"[7, 38, 72]","[7, 31, 34]","[11011, 111101111, 11111000010]"
cervejas,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
cervejeira,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cesta,31,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[27, 1, 1, 1, 1, 1, 1, 1, 1, 1, 35, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chaleira,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chamado,9,"[6, 24, 26, 55, 59, 61, 62, 70, 90]","[6, 18, 2, 29, 4, 2, 1, 8, 20]","[11010, 111100010, 100, 111101101, 11000, 100, 0, 1110000, 111100100]"
chance,4,"[5, 54, 82, 91]","[5, 49, 28, 9]","[11001, 11111010001, 111101100, 1110001]"
chapinha,11,"[52, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[52, 30, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010100, 111101110, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
characters,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
charles,6,"[1, 10, 23, 57, 61, 95]","[1, 9, 13, 34, 4, 34]","[0, 1110001, 1110101, 11111000010, 11000, 11111000010]"
charlie,2,"[3, 12]","[3, 9]","[101, 1110001]"
chat,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
chega,5,"[4, 6, 8, 9, 86]","[4, 2, 2, 1, 77]","[11000, 100, 100, 0, 1111110001101]"
chegar,6,"[0, 3, 7, 8, 21, 56]","[0, 3, 4, 1, 13, 35]","[0, 101, 11000, 0, 1110101, 11111000011]"
chegou,4,"[4, 7, 8, 82]","[4, 3, 1, 74]","[11000, 101, 0, 1111110001010]"
cheia,3,"[12, 59, 69]","[12, 47, 10]","[1110100, 11111001111, 1110010]"
cheio,3,"[24, 51, 101]","[24, 27, 50]","[111101000, 111101011, 11111010010]"
cheiro,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
china,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 54, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 46, 28, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 11111001110, 111101100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chip,6,"[83, 84, 85, 88, 89, 91]","[83, 1, 1, 3, 1, 2]","[1111110010011, 0, 0, 101, 0, 100]"
chromecast,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chuck,1,[16],[16],[111100000]
chucri,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
churrasqueira,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chuva,8,"[31, 64, 65, 66, 67, 68, 69, 70]","[31, 33, 1, 1, 1, 1, 1, 1]","[111101111, 11111000001, 0, 0, 0, 0, 0, 0]"
ciadoslivros,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cidade,19,"[3, 6, 12, 14, 16, 26, 38, 59, 60, 61, 62, 63, 64, 67, 68, 70, 84, 91, 92]","[3, 3, 6, 2, 2, 10, 12, 21, 1, 1, 1, 1, 1, 3, 1, 2, 14, 7, 1]","[101, 101, 11010, 100, 100, 1110010, 1110100, 111100101, 0, 0, 0, 0, 0, 101, 0, 100, 1110110, 11011, 0]"
cientifica,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
científica,26,"[3, 5, 6, 13, 14, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 64, 65, 66, 67, 68, 69, 70, 94]","[3, 2, 1, 7, 1, 2, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 1, 1, 1, 1, 1, 1, 24]","[101, 100, 0, 11011, 0, 100, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100000, 0, 0, 0, 0, 0, 0, 111101000]"
cinco,13,"[5, 6, 54, 58, 82, 84, 86, 87, 88, 90, 91, 92, 94]","[5, 1, 48, 4, 24, 2, 2, 1, 1, 2, 1, 1, 2]","[11001, 0, 11111010000, 11000, 111101000, 100, 100, 0, 0, 100, 0, 0, 100]"
cine,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cinema,19,"[9, 10, 11, 12, 13, 14, 15, 16, 64, 65, 66, 67, 68, 69, 70, 82, 94, 96, 98]","[9, 1, 1, 1, 1, 1, 1, 1, 48, 1, 1, 1, 1, 1, 1, 12, 12, 2, 2]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111010000, 0, 0, 0, 0, 0, 0, 1110100, 1110100, 100, 100]"
cinquenta,6,"[82, 85, 86, 87, 90, 91]","[82, 3, 1, 1, 3, 1]","[1111110010010, 101, 0, 0, 101, 0]"
cinza,9,"[82, 85, 86, 87, 90, 91, 93, 95, 96]","[82, 3, 1, 1, 3, 1, 2, 2, 1]","[1111110010010, 101, 0, 0, 101, 0, 100, 100, 0]"
ciranda,1,[15],[15],[1110111]
circulador,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
civil,13,"[11, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[11, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110011, 111101010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ciência,38,"[8, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 64, 65, 66, 67, 68, 69, 70, 75, 78, 89, 90]","[8, 6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 1, 1, 1, 1, 1, 1, 5, 3, 11, 1]","[1110000, 11010, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100000, 0, 0, 0, 0, 0, 0, 11001, 101, 1110011, 0]"
ciúme,4,"[38, 42, 43, 49]","[38, 4, 1, 6]","[11111000110, 11000, 0, 11010]"
classic,13,"[9, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 93, 94]","[9, 73, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]","[1110001, 1111110001001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0]"
classificados,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
classificação,18,"[0, 1, 3, 4, 5, 6, 7, 8, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[0, 1, 2, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
click,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
cliente,87,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 50, 52, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
climatizada,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
climatizador,17,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
climatização,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
clinique,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
clique,29,"[0, 1, 3, 4, 5, 6, 7, 10, 12, 14, 16, 20, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 52, 53, 55, 56, 57, 58]","[0, 1, 2, 1, 1, 1, 1, 3, 2, 2, 2, 4, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 3, 1, 2, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 101, 100, 100, 100, 11000, 11011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 101, 0, 100, 0, 0, 0]"
cliquebooks,5,"[57, 58, 83, 92, 99]","[57, 1, 25, 9, 7]","[11111011001, 0, 111101001, 1110001, 11011]"
close,10,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[27, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101011, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
clown,1,[9],[9],[1110001]
club,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 74, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1111110001010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
clube,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
clássico,24,"[1, 4, 6, 9, 10, 11, 12, 13, 14, 15, 16, 26, 50, 51, 60, 64, 65, 66, 67, 68, 69, 70, 95, 96]","[1, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 10, 24, 1, 9, 4, 1, 1, 1, 1, 1, 1, 25, 1]","[0, 101, 100, 101, 0, 0, 0, 0, 0, 0, 0, 1110010, 111101000, 0, 1110001, 11000, 0, 0, 0, 0, 0, 0, 111101001, 0]"
clínica,4,"[8, 46, 75, 91]","[8, 38, 29, 16]","[1110000, 11111000110, 111101101, 111100000]"
cnpj,102,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cobrado,16,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coeditora,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[17, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coifas,17,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coisa,24,"[0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 42, 48, 52, 53, 66, 70, 72, 82, 83, 84, 91, 94, 97, 101]","[0, 6, 1, 1, 1, 1, 1, 1, 1, 1, 28, 6, 4, 1, 13, 4, 2, 10, 1, 1, 7, 3, 3, 4]","[0, 11010, 0, 0, 0, 0, 0, 0, 0, 0, 111101100, 11010, 11000, 0, 1110101, 11000, 100, 1110010, 0, 0, 11011, 101, 101, 11000]"
coladas,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
colchão,27,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
colecao,8,"[82, 85, 86, 87, 90, 91, 93, 98]","[82, 3, 1, 1, 3, 1, 2, 5]","[1111110010010, 101, 0, 0, 101, 0, 100, 11001]"
colecionáveis,15,"[9, 10, 11, 12, 13, 14, 15, 16, 64, 65, 66, 67, 68, 69, 70]","[9, 1, 1, 1, 1, 1, 1, 1, 48, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111010000, 0, 0, 0, 0, 0, 0]"
colegas,5,"[2, 8, 10, 48, 90]","[2, 6, 2, 38, 42]","[100, 11010, 100, 11111000110, 11111001010]"
coletivo,13,"[11, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[11, 26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110011, 111101010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coletânea,4,"[1, 72, 94, 99]","[1, 71, 22, 5]","[0, 1111110000111, 111100110, 11001]"
coleção,45,"[4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 36, 43, 51, 52, 53, 56, 64, 65, 66, 67, 68, 69, 70, 84, 85, 87, 88, 91, 93, 95, 98, 99, 100]","[4, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 5, 7, 8, 1, 1, 3, 8, 1, 1, 1, 1, 1, 1, 14, 1, 2, 1, 3, 2, 2, 3, 1, 1]","[11000, 11001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 11001, 11011, 1110000, 0, 0, 101, 1110000, 0, 0, 0, 0, 0, 0, 1110110, 0, 100, 0, 101, 100, 100, 101, 0, 0]"
collins,2,"[78, 98]","[78, 20]","[1111110001110, 111100100]"
color,7,"[83, 85, 86, 87, 88, 89, 90]","[83, 2, 1, 1, 1, 1, 1]","[1111110010011, 100, 0, 0, 0, 0, 0]"
coloração,5,"[83, 85, 86, 89, 90]","[83, 2, 1, 3, 1]","[1111110010011, 100, 0, 101, 0]"
colorir,5,"[6, 8, 52, 55, 92]","[6, 2, 44, 3, 37]","[11010, 100, 11111001100, 101, 11111000101]"
columbine,1,[9],[9],[1110001]
comando,3,"[16, 23, 94]","[16, 7, 71]","[111100000, 11011, 1111110000111]"
comece,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 64, 65, 66, 67, 68, 69, 70, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 48, 1, 1, 1, 1, 1, 1, 31]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111010000, 0, 0, 0, 0, 0, 0, 111101111]"
comemorativa,3,"[9, 13, 72]","[9, 4, 59]","[1110001, 11000, 11111011011]"
comentar,8,"[0, 1, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0]"
comentário,15,"[1, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 55, 70, 86, 88]","[1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 39, 15, 16, 2]","[0, 101, 101, 100, 0, 0, 0, 0, 0, 0, 0, 11111000111, 1110111, 111100000, 100]"
comercial,33,"[13, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[13, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110101, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
começa,8,"[14, 24, 26, 38, 61, 75, 83, 86]","[14, 10, 2, 12, 23, 14, 8, 3]","[1110110, 1110010, 100, 1110100, 111100111, 1110110, 1110000, 101]"
começou,5,"[14, 18, 59, 62, 70]","[14, 4, 41, 3, 8]","[1110110, 11000, 11111001001, 101, 1110000]"
comida,3,"[25, 51, 52]","[25, 26, 1]","[111101001, 111101010, 0]"
compacta,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
compacto,1,[11],[11],[1110011]
companhia,25,"[4, 10, 16, 69, 78, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[4, 6, 6, 53, 9, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11000, 11010, 11010, 11111010101, 1110001, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
compartilhar,44,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 64, 65, 66, 67, 68, 69, 70, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 48, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111010000, 0, 0, 0, 0, 0, 0, 1110100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
compartilhe,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
compartilhá,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
compatível,3,"[7, 85, 88]","[7, 78, 3]","[11011, 1111110001110, 101]"
complemento,13,"[54, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[54, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010110, 11001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
completa,20,"[0, 1, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 25, 88, 90, 94, 95, 96, 98, 101]","[0, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 9, 63, 2, 4, 1, 1, 2, 3]","[0, 0, 101, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 1110001, 11111011111, 100, 11000, 0, 0, 100, 101]"
completo,17,"[1, 11, 52, 57, 77, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 95, 99]","[1, 10, 41, 5, 20, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4]","[0, 1110010, 11111001001, 11001, 111100100, 11001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11000, 11000]"
componentes,18,"[9, 10, 11, 12, 13, 14, 15, 16, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[9, 1, 1, 1, 1, 1, 1, 1, 76, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110001100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
composição,5,"[50, 52, 54, 55, 56]","[50, 2, 2, 1, 1]","[11111010010, 100, 100, 0, 0]"
compra,61,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 25, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11000, 11001, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
comprado,8,"[0, 1, 3, 4, 5, 6, 7, 8]","[0, 1, 2, 1, 1, 1, 1, 1]","[0, 0, 100, 0, 0, 0, 0, 0]"
